Year completed,Date Completed,Project Code,Project Name,Regional Economic Development Council,NYISO Zone,NY State County,NY Region,Customer,Agency,Project category,Facility Description,Number of Facilities,Total Project Cost,First Year Bill Savings,Demand Reduction (KW),Electric Energy Reduction (kWh),Gas Savings (Therms),Oil Savings (Gallons),Steam Savings (M Lbs),Digester Gas Savings (CCF),Coal Savings (Tons),Equivalent Barrels of Oil Saved,Reduction in Greenhouse Gas Emissions (Tons),Renewable Energy (KW),Address,Address Ext,City,State,Zip,Project or Program description
2020,03/20/2020,ES-GSN-0944,NYC Health and Hospitals - Lincoln Hospital - Elevator Modernization,New York City,J - New York City,BRONX,Southeastern,CITY OF NEW YORK,NYC Health & Hospitals Corporation,Energy Efficiency - Comprehensive,"Hospitals, Health, Shelters, Medical Centers",1,607332,0,0,0,0,0,0,0,0,0,0,0,234 E 149th St,,Bronx,NY,10451,"Scope of work is for implementation of energy efficient regenerative elevator technology at HHC Lincoln Hospital. Lincoln Hospital is a 10-story building with 19 elevators in the main hospital and 2 additional elevators in the parking garage. Phase 1 will be make ready work to perform repairs on elevators 18 & 19. In addition, would be a new ring intercom system for cars 1-14, 18-21."
2020,03/17/2020,ES-ESN-0723,Town of Woodstock - LED Street Lighting (DESIGN ONLY),Mid-Hudson,G - Hudson Valley,ULSTER,Southeastern,"WOODSTOCK, TOWN OF",,Design Services,"Street Lighting, Bridges, Yards, Parkings",1,68566,25046,0,35738,0,0,0,0,0,82.65173,4.797362,0,47 Comeau Drive,,Woodstock,NY,12498,LED Street lighting
2020,03/12/2020,ES-GSN-0920,NYPD - 102nd Precinct - Interior Lighting,New York City,J - New York City,QUEENS,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency - LED Lighting,"Police Precincts, Fire Stations",1,123832,7802,10.22,87956.13,-754,0,0,0,0,227.7586,21.41254,0,87-34 118th St,,Richmond Hil,NY,11418,The scope of work includes an energy efficient LED lighting upgrade at the NYPD 102nd Precinct.
2020,03/12/2020,ES-GSN-0937,NYPD - 77th Precinct - Interior Lighting,New York City,J - New York City,KINGS,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency - LED Lighting,"Police Precincts, Fire Stations",1,228817,19160,27.88,177104.03,-1905,0,0,0,0,452.6207,41.061,0,127 Utica Ave,,Brooklyn,NY,11213,Energy efficient LED lighting upgrade at the NYPD 77th Precinct.
2020,03/09/2020,ES-GSN-0938,Mount Vernon Public Library - ASHRAE Level II Audit,Mid-Hudson,I - Dunwoodie,WESTCHESTER,Southeastern,MOUNT VERNON PUBLIC LIBRARY,,Energy Audit / Feasibility Study,Libraries,1,6516,0,0,0,0,0,0,0,0,0,0,0,28 S. First Ave.,,Mt. Vernon,NY,10550,ASHRAE Level II energy audit at the Mount Vernon Public Library.
2020,02/14/2020,ES-ESN-0683,SUNY (ESF) Environmental Science & Forestry (DESIGN ONLY),Central New York,C - Central,ONONDAGA,Central,SUNY - State University of New York,State University of New York,Design Services,Colleges and Universities,,41299,0,0,0,0,0,0,0,0,0,0,0,Multiple,,Syracuse,NY,13210,"This is meant to be a Turnkey project, with this representing only the Design portion. ASHRAE Level II audits completed by Trane (non-NYPA firm) at all 12 of the colleges primary buildings. Estimated cost of SOW that ESF wants NYPA to design and construct is: LED upgrades (exterior lighting at all sites across the college and interior at Bray Hall) = $ 350,000 M&L Piping and building envelope insulation at all sites across the campus = $ 575,000 M&L Some miscellaneous to-be-determined ~ $ 75,000 M&L Total ""All-in"" Est. with fees $1.3 million. Estimated cost for Detailed Design is $120,000 (includes IC and NYPA fees). NYPA needs to assign an IC to verify the cost estimates before we can draft an ATP Letter for Design. Project Acceleration Committee approved closing as Won at this point to allow WBS and IC Assignment."
2020,02/11/2020,ES-ESN-0802,City of Sherrill - LED Street Lighting (Materials Only),Mohawk Valley,E - Mohawk Valley,ONEIDA,Central,"SHERRILL, CITY OF",,Energy Efficiency - LED Street Lighting,"Street Lighting, Bridges, Yards, Parkings",1,33046,11827,0,61770,0,0,0,0,0,36.37931,8.29182,0,377 Sherrill Road,,Sherrill,NY,13461,The City of Sherrill is interested in purchasing materials from NYPA to convert its street lights to LED. They will do the installation work themselves. # of LED Lights: 341
2020,02/07/2020,ES-ESN-0748,Town of Lyons - LED Street Lighting (Design-Only),Finger Lakes,B - Genesee,WAYNE,Central,"LYONS, TOWN OF",,Design Services,"Street Lighting, Bridges, Yards, Parkings",,-594495,0,0,0,0,0,0,0,0,0,0,0,Multiple,,Lyons,NY,14489,DESIGN ONLY. LED Street lighting.
2020,01/24/2020,261347,Town of New Windsor - Solar Advisory Services,Mid-Hudson,G - Hudson Valley,ORANGE,Southeastern,"NEW WINDSOR, TOWN OF",,Renewables - Solar PV,"County, Municipal, & State Government Offices",,22200,0,0,3416399.875,0,0,0,0,0,2010.345,458.6073,3000,Multiple,,New Windsor,NY,12553,"Solar Advisory Services- Ground Mounted, canopy, roof mounted systems at Town facilities."
2020,01/06/2020,ES-ESN-0754,Village of Palmyra - LED Street Lighting (Design-Only),Finger Lakes,B - Genesee,WAYNE,Central,"PALMYRA, VILLAGE OF",,Design Services,"Street Lighting, Bridges, Yards, Parkings",,-463731,0,0,0,0,0,0,0,0,0,0,0,Multiple,,Palmyra,NY,14522,Design services for LED Street Lighting
2019,12/31/2019,ES-ESN-0685,Village of Livonia - LED Street Lighting (DESIGN ONLY),Finger Lakes,A - West,LIVINGSTON,Central,"LIVONIA, VILLAGE OF",,Design Services,"Street Lighting, Bridges, Yards, Parkings",,7547,3777,0,20595,0,0,0,0,0,12.06896,2.764611,0,Multiple,,Livonia,NY,14487,DESIGN ONLY: LED Street Lighting project
2019,12/30/2019,ES-GSN-5051,NYC Health and Hospitals - Heritage Health Care - Cooling System,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Health & Hospitals Corporation,Energy Efficiency - Boiler/Chiller,"Hospitals, Health, Shelters, Medical Centers",1,865174,14665,16.44,48412,10494,0,0,0,0,292.9483,69.72344,0,1727 Amsterdam Avenue,,New York,NY,10031,"Scope of work for this project includes energy efficient boiler repairs, cooling tower replacement, chiller repairs and pump replacements."
2019,12/19/2019,ES-GSN-5046,NYC Health and Hospitals - Woodhull Hospital Comprehensive Phase II,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYC Health & Hospitals Corporation,Energy Efficiency - Comprehensive,"Hospitals, Health, Shelters, Medical Centers",1,6213344,399574,0,2721537,0,24632,0,0,0,6929.552,1038.709,0,760 Broadway,,Brooklyn,NY,11206,"This project calls for the repair and restoration of the remaining air handlers not addressed in Phase I, a total of 43 air handling units. HHC conducted a survey of the AHU’s to help determine the scope of work but the IC will need to verify and confirm the survey and scope of work.This scope of work was included in the 60% design of Phase I and then removed.Phase II will commence at the 90% Design phase.Phase II will also include an upgrade to the facilities BMS system.."
2019,12/18/2019,ES-GSN-0802,MTA Bus - College Point Bus Depot LED Lighting Upgrade,New York City,J - New York City,QUEENS,Southeastern,MTA - Metropolitan Transportation Authority,MTA Bus Company,Energy Efficiency - LED Lighting,"Transit Terminals, Bus and Train Depots, Airports",1,1072291,120481,158.29,1361307,-13292,0,0,0,0,2918.983,322.7885,0,128-15 28th avenue,,Flushing,NY,11368,The scope of work includes the installation of energy efficient lighting at the NYCT College Point Bus Depot.
2019,12/16/2019,ES-GSN-0860,NYCT - Castleton Bus Depot Comprehensive,New York City,J - New York City,RICHMOND,Southeastern,MTA - Metropolitan Transportation Authority,MTA - New York City Transit Authority,Energy Efficiency - Comprehensive,"Transit Terminals, Bus and Train Depots, Airports",1,1100885,102007,107.9,1076248,7138,0,0,0,0,2611.983,348.9176,0,1390 Castleton Ave,,Staten Island,NY,10310,"The scope of work includes an LED lighting upgrade, thermostatic valve installation of radiators for heating and unoccupied temperature setbacks at the Castleton Bus Depot."
2019,12/16/2019,ES-ESN-0588,NYS DOCCS - Franklin Correctional Facility Retro-Commissioning,North Country,E - Mohawk Valley,FRANKLIN,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Retro-Commissioning,"County, Municipal, & State Government Offices",35,476976,84645,9.2,339658,0,16984,0,0,0,1223.893,219.5275,0,62 Bare Hill Rd,,Malone,NY,12953,"The scope of work for this project includes development of a Retro-Commissioning Proposal, Scoping Survey, and Plan, as well as the recommendation and implementation of energy efficiency measures chosen by the customer at the Franklin Correctional Facility."
2019,12/13/2019,ES-GSN-5045,Port Authority - JFK Airport - Term 5 (JetBlue) EV Station Electrification,New York City,J - New York City,QUEENS,Southeastern,PORT AUTHORITY OF NY AND NJ,Port Authority of NY & NJ,EV - Charging Stations,"Transit Terminals, Bus and Train Depots, Airports",1,5472203,8963,-1888,-5512960,0,266790,0,0,0,3641.379,1139.089,0,Terminal 5-JFK International Airport,,Queens,NY,11430,Electrification of equipment at JFK Airport Terminal 5 (JetBlue).
2019,12/12/2019,ES-ESN-0578,NYS DOCCS - Altona Correctional Facility Retro-Commissioning,North Country,D - North,CLINTON,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Retro-Commissioning,Prisons and Correctional Facilities,1,205711,35866,14.7,150099,0,8826,0,0,0,574.8259,110.5357,0,Altona Correctional Facility,555 Devils Den Road,Altona,NY,12910,
2019,12/12/2019,ES-GSN-0874,Port Authority - Jamaica Station LED Lighting Upgrade,New York City,J - New York City,QUEENS,Southeastern,PORT AUTHORITY OF NY AND NJ,Port Authority of NY & NJ,Energy Efficiency - LED Lighting,"Transit Terminals, Bus and Train Depots, Airports",1,1182048,88883,120.2,1273735,18810,0,0,0,0,3269.879,467.9762,0,93-40 Sutphin Blvd,,Jamaica,NY,11435,The scope of work includes the replacement of existing lighting fixtures with high energy efficiency LED fixtures. New occupancy sensors will also be installed in the building.
2019,12/10/2019,ES-ESN-0577,NYS DOCCS - Adirondack Correctional Facility Retro-Commissioning,North Country,F - Capital,ESSEX,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Retro-Commissioning,Prisons and Correctional Facilities,7,495996,68838,10.8,133690,0,19281,0,0,0,806.7068,215.4025,0,Adirondack Correctional Facility,196 Ray Brook Road,Ray Brook,NY,12977,
2019,12/09/2019,ES-ESN-0556,NYS DOCCS - Clinton Correctional Facility,North Country,D - North,CLINTON,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Efficiency - Comprehensive,Prisons and Correctional Facilities,56,4539383,297944,211.3,2257930,129690,0,0,0,0,7457.638,991.8813,0,1156 Cook Street,,Dannemora,NY,12929,"Installation of heat recovery units, installation of controls, convert to efficient natural gas burners, upgrade interior and exterior lighting with LED technologies. and various low cost/no cost measures identified by the Energy Master Plan."
2019,12/09/2019,ES-ESN-0585,NYS DOCCS - Clinton Correctional Facility -  Retro-Commissioning,North Country,D - North,CLINTON,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Retro-Commissioning,"County, Municipal, & State Government Offices",25,892545,99637,19.5,341290,83235,0,0,0,0,2224.293,487.8748,0,1156 Cook Street,,Dannemora,NY,12210,"The scope of work for this project includes development of a Retro-Commissioning Proposal, Scoping Survey, and Plan, as well as the recommendation and implementation of energy efficiency measures chosen by the customer with available funds at the Clinton Correctional Facility."
2019,12/09/2019,ES-ESN-0636,NYS DOCCS - Clinton Correctional Facility -  Retro-Commissioning - Annex,North Country,D - North,CLINTON,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Retro-Commissioning,"County, Municipal, & State Government Offices",33,612250,78856,23.3,231968,62477,977,0,0,0,1638.914,372.9595,0,1156 Cook Street,,Dannemora,NY,12229,"The scope of work for this project includes development and implementation of a retro-commissioning study for NYS DOCCS. After the retro-commissioning scoping survey and plan report are complete, energy efficiency measures will be implemented, including controls, equipment replacements and upgrades."
2019,12/09/2019,ES-ESN-0554,NYS DOCCS - Upstate Correctional Facility,North Country,E - Mohawk Valley,FRANKLIN,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Efficiency - HVAC,Prisons and Correctional Facilities,14,2690439,98025,11.1,368551,0,32805,0,0,0,1698.879,385.4285,0,1220 Washington Avenue - Building #2,,Malone,NY,12953,"This project includes energy efficiency improvements to the Heating Ventilation and Air Conditioning system, Building Shell, Control and Lighting systems, and Boiler Controls at the Upstate Correctional Facility"
2019,12/09/2019,ES-ESN-6090,STL Re-Licensing - Town of Waddington - LED Lighting,North Country,E - Mohawk Valley,ST. LAWRENCE,Northern,"WADDINGTON, TOWN OF",,Energy Efficiency - LED Lighting,"County, Municipal, & State Government Offices",1,44069,2300,0,27793,-487,0,0,0,0,55.84483,1.144392,0,P.O. Box 338,,Waddington,NY,13694,"NYPA and the Town of Waddington staff and elected officials and has identified LED lighting upgrades to facilities. The project is to be funded through NYPA's relicensing initiative and as.such, the project is presented to the Town at rio cost."
2019,12/06/2019,ES-GSN-0812,MTA - EO88 Advanced Metering Infrastructure (AMI),New York City,J - New York City,NEW YORK,Southeastern,MTA - Metropolitan Transportation Authority,MTA Metropolitan Transportation Authority,Metering / Sub-metering,"Transit Terminals, Bus and Train Depots, Airports",25,1542203,81605,0,57229,74206,0,0,0,0,11180.34,410.6458,0,multiple sites,,multiple sites,NY,multiple sites,"The new Advanced Metering Infrastructure (AMI) system being installed will consist of utility owned digital electrical, gas, and steam meters outputting a pulse to a newly installed data collector. The data collector will be connected to a local web server, making the data accessible to the energy management software platform, New York Energy Manager (NYEM).  The data on this platform will be available to the MTA for the benefits of energy performance benchmarking and analysis, utility bill reconciliation, budgeting, and fiscal planning."
2019,12/06/2019,ES-ESN-0551,NYS DOCCS - Altona Correctional Facility,North Country,F - Capital,ESSEX,Northern,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Energy Efficiency - HVAC,Prisons and Correctional Facilities,15,1040684,81117,50,554084,0,15164,0,0,0,1672.724,229.6728,0,555 Devils Den Road,,Altona,NY,12910-2090,"The scope of work for this project includes HVAC control modifications, HVAC equipment upgrades, destratification fans, lighting upgrades and various low cost/no cost measures identified by the Energy Master Plan."
2019,12/05/2019,ES-ESN-6073,NYS DOCCS - Auburn CF Bldgs 001-008 - Retro-Commissioning Ph1,Central New York,C - Central,CAYUGA,Central,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Retro-Commissioning,Prisons and Correctional Facilities,1,14166,0,0,0,0,0,0,0,0,653.0862,0,0,135 State Street,,Auburn,NY,13024,"This is a Retro-Commissioning (RCx) project. The scope of work will include a scoping survey, development of an RCx plan, implementation of measures and a final RCx Report. The Retro-Commissioning project will improve the buildings’/building’s operation and maintenance procedures to enhance the overall building performance in order to reduce energy usage."
2019,12/05/2019,ES-ESN-6074,NYS DOCCS - Auburn CF Bldgs 009-W12 - Retro-Commissioning Ph2,Central New York,C - Central,CAYUGA,Central,"State of New York (OGS, SUNY, all state agencies)",NYS Department of Corrections & Community Supervision,Retro-Commissioning,Prisons and Correctional Facilities,1,14186,0,0,0,0,0,0,0,0,645.0345,0,0,135 State Street,,Auburn,NY,13024,"This is a Retro-Commissioning (RCx) project. The scope of work will include a scoping survey, development of an RCx plan, implementation of measures and a final RCx Report. The Retro-Commissioning project will improve the buildings’/building’s operation and maintenance procedures to enhance the overall building performance in order to reduce energy usage."
2019,12/03/2019,ES-GSN-0933,CUNY Brooklyn College - Fuel Management Program (DESIGN/STUDY ONLY),New York City,J - New York City,KINGS,Southeastern,CITY UNIVERSITY OF NEW YORK,City University of New York,Audits / Design Only,Colleges and Universities,1,208267,0,0,0,0,0,0,0,0,0,0,0,"Bedford Avenue & Avenue H James Hall,",,Brooklyn,NY,11210,Design/Study Only: Oil tank replacement
2019,12/01/2019,ES-GSN-0951,NYPD - One Police Plaza HQ Parking Garage - LED Lighting,New York City,J - New York City,NEW YORK,Southeastern,CITY OF NEW YORK,NYPD - New York City Police Department,Energy Efficiency - LED Lighting,"Police Precincts, Fire Stations",1,617362,52337,66.03,792360,0,0,0,0,0,1753.328,228.9714,0,1 Police Plaza,,New York,NY,10007,The lighting at the One Police Plaza garage will be upgraded to LED
2019,12/01/2019,ES-ESN-6088,STL Re-Licensing - Madrid Waddington CSD - LED Lighting,North Country,E - Mohawk Valley,ST. LAWRENCE,Northern,MADRID WADDINGTON CSD,,Energy Efficiency - LED Lighting,"Schools, Elementary and Secondary",1,496932,20735,107.6,255680,0,0,0,0,0,591.3448,34.32172,0,PO Box 67,,Waddington,NY,13660,"The New York Power Authority (NYPA) will provide Turn Key Implementation Services, which includes Design, Engineering, and Construction Management for Madrid-Waddington Central School District. The district would like to implement energy efficient lighting and automated controls throughout their facilities to lower their energy consumption and overall electricity load.  This project is funded through NYPA's relicensing initiative and as such, the project is presented to the school district at no cost."
2019,12/01/2019,ES-ESN-6089,STL Re-Licensing - Massena CSD - LED Lighting,North Country,E - Mohawk Valley,ST. LAWRENCE,Northern,MASSENA CSD,,Energy Efficiency - LED Lighting,"Schools, Elementary and Secondary",6,662463,15286,82.5,375750,-6162,0,0,0,0,762.6724,17.71317,0,94 Nightengale Ave,,Massena,NY,13362,"The New York Power Authority (NYPA) will provide Turn Key Implementation Services, which includes Design, Engineering, and Construction Management for Massena Central School district. The district would like to implement energy efficient lighting and automated controls throughout their facilities to lower their energy consumption and overall electricity load.  This project is funded through NYPA's relicensing initiative and as such, the project is presented to the school district at no cost."
